rownames,gender,ethnicity,birth,stark,star1,star2,star3,readk,read1,read2,read3,mathk,math1,math2,math3,lunchk,lunch1,lunch2,lunch3,schoolk,school1,school2,school3,degreek,degree1,degree2,degree3,ladderk,ladder1,ladder2,ladder3,experiencek,experience1,experience2,experience3,tethnicityk,tethnicity1,tethnicity2,tethnicity3,systemk,system1,system2,system3,schoolidk,schoolid1,schoolid2,schoolid3
1122,female,afam,1979 Q3,,,,regular,,,,580.0,,,,564.0,,,,free,,,,suburban,,,,bachelor,,,,level1,,,,30.0,,,,cauc,,,,22.0,,,,54.0
1137,female,cauc,1980 Q1,small,small,small,small,447.0,507.0,568.0,587.0,473.0,538.0,579.0,593.0,non-free,free,non-free,free,rural,rural,rural,rural,bachelor,bachelor,bachelor,bachelor,level1,level1,apprentice,apprentice,7.0,7.0,3.0,1.0,cauc,cauc,cauc,cauc,30.0,30.0,30.0,30.0,63.0,63.0,63.0,63.0
1143,female,afam,1979 Q4,small,small,regular+aide,regular+aide,450.0,579.0,588.0,644.0,536.0,592.0,579.0,639.0,non-free,,non-free,non-free,suburban,suburban,suburban,suburban,bachelor,master,bachelor,bachelor,level1,probation,level1,level1,21.0,32.0,4.0,4.0,cauc,afam,afam,cauc,11.0,11.0,11.0,11.0,20.0,20.0,20.0,20.0
1160,male,cauc,1979 Q4,,,,small,,,,686.0,,,,667.0,,,,non-free,,,,rural,,,,bachelor,,,,level1,,,,10.0,,,,cauc,,,,6.0,,,,8.0
1183,male,afam,1980 Q1,regular+aide,,,,439.0,,,,463.0,,,,free,,,,inner-city,,,,bachelor,,,,probation,,,,0.0,,,,cauc,,,,11.0,,,,19.0,,,
1195,male,cauc,1979 Q3,,,regular,regular,,,,644.0,,,,648.0,,,non-free,non-free,,,rural,rural,,,bachelor,bachelor,,,notladder,level1,,,13.0,15.0,,,cauc,cauc,,,6.0,6.0,,,8.0,8.0
1215,male,afam,1979 Q1,,,,regular+aide,,,,,,,,,,,,free,,,,inner-city,,,,bachelor,,,,notladder,,,,17.0,,,,afam,,,,11.0,,,,31.0
1224,female,cauc,1979 Q4,,regular+aide,regular+aide,regular+aide,,475.0,573.0,599.0,,512.0,550.0,583.0,,non-free,non-free,non-free,,rural,rural,rural,,master,master,bachelor,,apprentice,level1,level3,,8.0,13.0,23.0,,cauc,afam,cauc,,4.0,4.0,4.0,,5.0,5.0,5.0
1246,male,cauc,1979 Q2,,regular,regular,regular,,,,,,,,,,non-free,non-free,non-free,,rural,rural,rural,,master,bachelor,bachelor,,level1,level1,level1,,13.0,6.0,8.0,,cauc,cauc,cauc,,40.0,40.0,40.0,,77.0,77.0,77.0
1258,male,cauc,1979 Q3,,regular,regular,regular,,651.0,596.0,626.0,,532.0,590.0,618.0,,non-free,non-free,non-free,,rural,rural,rural,,bachelor,bachelor,master,,level1,level1,level1,,7.0,8.0,8.0,,cauc,cauc,cauc,,21.0,21.0,21.0,,50.0,50.0,50.0
1277,male,cauc,1980 Q2,regular,regular,regular,regular,448.0,651.0,614.0,641.0,559.0,584.0,639.0,684.0,non-free,non-free,non-free,non-free,rural,rural,rural,rural,bachelor,bachelor,bachelor,bachelor,level1,level3,level1,level1,16.0,11.0,31.0,7.0,cauc,cauc,cauc,cauc,35.0,35.0,35.0,35.0,69.0,69.0,69.0,69.0
1292,male,cauc,1980 Q2,small,small,small,small,447.0,533.0,608.0,665.0,489.0,545.0,603.0,648.0,free,free,free,free,rural,rural,rural,rural,bachelor,master,master,bachelor,level1,level1,level1,level1,5.0,15.0,14.0,14.0,cauc,cauc,cauc,cauc,41.0,41.0,41.0,41.0,79.0,79.0,79.0,79.0
1308,male,cauc,1980 Q2,regular,regular,regular,regular,431.0,558.0,608.0,597.0,454.0,553.0,579.0,589.0,free,,free,free,rural,rural,rural,rural,bachelor,bachelor,bachelor,bachelor,level1,probation,level1,level1,8.0,0.0,9.0,8.0,cauc,cauc,cauc,cauc,4.0,4.0,4.0,4.0,5.0,5.0,5.0,5.0
1324,female,afam,1980 Q2,regular+aide,regular,,,395.0,454.0,,,423.0,490.0,,,free,free,,,inner-city,inner-city,,,master,bachelor,,,level1,level1,,,17.0,5.0,,,cauc,cauc,,,11.0,11.0,,,16.0,16.0,,
1345,female,cauc,1980 Q1,,,regular,regular,,,586.0,606.0,,,603.0,631.0,,,non-free,non-free,,,suburban,suburban,,,bachelor,master,,,level1,level1,,,4.0,19.0,,,cauc,cauc,,,17.0,17.0,,,41.0,41.0
1361,female,cauc,1980 Q1,,regular,small,small,,505.0,539.0,597.0,,493.0,590.0,589.0,,non-free,,free,,urban,urban,urban,,bachelor,bachelor,bachelor,,level1,level1,level1,,17.0,28.0,13.0,,cauc,cauc,cauc,,20.0,20.0,20.0,,48.0,48.0,48.0
1373,female,afam,1980 Q2,,regular,,,,472.0,,,,481.0,,,,free,,,,suburban,,,,bachelor,,,,probation,,,,1.0,,,,afam,,,,22.0,,,,51.0,,
1386,female,afam,1979 Q3,,,regular+aide,regular+aide,,,520.0,578.0,,,540.0,606.0,,,free,free,,,inner-city,inner-city,,,master,bachelor,,,,level1,,,2.0,26.0,,,cauc,afam,,,11.0,11.0,,,19.0,19.0
1402,female,afam,1980 Q3,,,,small,,,,,,,,,,,,,,,,inner-city,,,,master,,,,level1,,,,21.0,,,,afam,,,,11.0,,,,15.0
1422,male,afam,1980 Q2,,small,,,,571.0,,,,567.0,,,,free,,,,suburban,,,,master,,,,level3,,,,14.0,,,,cauc,,,,22.0,,,,51.0,,
